date,pm25,pm10,o3,no2,so2,co
09/04/2024, 79, 67, 7, 1, 8, 11
10/04/2024, 99, 61, 10, 1, 8, 9
11/04/2024, 86, 61, 10, 1, 7, 6
12/04/2024, 72, 54, 10, 1, 7, 4
13/04/2024, 55, 59, 10, 1, 7, 5
14/04/2024, , 66, 11, 1, 8, 7
15/04/2024, , 58, 10, 1, 8, 4
16/04/2024, , 56, 10, 1, 7, 5
17/04/2024, , 57, 10, 1, 8, 5
18/04/2024, , 59, 10, 1, 7, 6
19/04/2024, , 69, 11, 1, 7, 7
20/04/2024, , 68, 9, 1, 7, 6
21/04/2024, , 63, 9, 1, 7, 9
22/04/2024, , 67, , 1, 8, 9
23/04/2024, , 72, 9, 1, 8, 9
24/04/2024, 136, 65, , 1, 8, 7
25/04/2024, 105, 75, 9, 1, 7, 9
26/04/2024, 114, 76, 9, 1, 8, 7
27/04/2024, 120, , , , , 
07/05/2024, , 56, 9, 1, 8, 9
08/05/2024, 65, 44, 9, 1, 8, 6
09/05/2024, 53, 58, , 1, 8, 7
10/05/2024, 78, 49, 9, 1, 8, 4
11/05/2024, 59, 50, , 1, , 6
12/05/2024, 54, 35, 9, 1, 8, 5
13/05/2024, 45, 56, 12, 1, 8, 6
14/05/2024, 82, 50, 10, 1, 8, 8
15/05/2024, 60, 60, 10, 1, 8, 7
16/05/2024, 89, 60, 12, 1, 8, 6
17/05/2024, 80, 48, 11, 1, 8, 3
18/05/2024, 48, 45, 12, 1, 8, 5
19/05/2024, 47, 50, 10, 1, 8, 9
20/05/2024, 62, 64, 11, 1, 8, 8
21/05/2024, 91, 59, 16, 1, 8, 5
22/05/2024, 89, 63, 11, 1, 8, 10
23/05/2024, 92, 73, 10, 1, 8, 8
24/05/2024, 99, 37, 11, 1, 8, 6
25/05/2024, 39, 33, 14, 1, 8, 4
26/05/2024, 30, 54, 13, 1, 8, 8
27/05/2024, 59, 65, 13, 1, 8, 8
28/05/2024, 85, 56, 14, 1, 8, 6
29/05/2024, 58, 50, 13, 1, 8, 6
30/05/2024, 47, 39, 10, 1, 8, 8
31/05/2024, 48, 63, 10, 1, 8, 8
01/06/2024, 98, 60, 11, 1, 8, 6
02/06/2024, 84, 58, 12, 1, 8, 7
03/06/2024, 76, 56, 12, 1, 8, 7
04/06/2024, 76, 50, 12, 1, 8, 5
05/06/2024, 65, 35, 8, 1, 8, 7
06/06/2024, 41, 66, 9, 1, 6, 11
07/06/2024, 94, 54, 6, 1, 4, 7
08/06/2024, 53, 33, 7, 1, 4, 9
09/06/2024, 40, 52, 6, 1, 4, 9
10/06/2024, 56, 51, 9, 1, 4, 7
11/06/2024, 52, 55, 11, 1, 4, 7
12/06/2024, 75, 61, 10, 1, 4, 8
13/06/2024, 82, 65, 9, 1, 4, 9
14/06/2024, 90, 90, 10, 1, 4, 8
15/06/2024, 163, 68, 10, 1, 4, 6
16/06/2024, 102, 55, 9, 1, 4, 8
17/06/2024, 68, 54, 8, 1, 4, 8
18/06/2024, 73, 53, 10, 1, 4, 6
19/06/2024, 61, 57, 10, 1, 4, 8
20/06/2024, 78, 51, 10, 1, 4, 6
21/06/2024, 61, 41, 10, 1, , 4
22/06/2024, 36, 47, 9, 1, , 6
23/06/2024, 55, 35, 9, 1, 4, 8
24/06/2024, 38, 42, 9, 1, 4, 8
25/06/2024, 47, 43, 8, 1, 4, 8
26/06/2024, 46, 35, 8, 1, 4, 7
27/06/2024, 34, 37, 8, 1, 4, 5
28/06/2024, 35, 39, 10, 1, 4, 4
29/06/2024, 36, 46, 10, 1, 4, 5
30/06/2024, 44, 53, 9, 1, 4, 7
01/07/2024, 54, 56, 9, 1, 4, 6
02/07/2024, 72, 55, 9, 1, 4, 11
03/07/2024, 72, 33, 9, 1, 4, 5
04/07/2024, 29, 27, 9, 1, 4, 3
05/07/2024, 24, 47, 8, 1, 4, 5
06/07/2024, 50, 32, 10, 1, 4, 3
07/07/2024, 26, 35, 10, 1, 4, 4
08/07/2024, 29, 37, 10, 1, 4, 5
09/07/2024, 35, 48, 11, 1, 4, 8
10/07/2024, 55, 53, 9, 1, 4, 7
11/07/2024, 59, 44, 11, 1, 4, 7
12/07/2024, 41, 39, 11, 1, 4, 5
13/07/2024, 37, 33, 9, 1, 4, 6
14/07/2024, 36, 34, 9, 1, 4, 4
15/07/2024, 43, 38, 9, 1, , 6
16/07/2024, 50, 48, 9, 1, , 6
17/07/2024, 50, 28, 8, 1, 4, 7
18/07/2024, 32, 44, 9, 1, , 10
19/07/2024, 51, 48, 10, 1, 4, 9
20/07/2024, 57, 52, 14, 1, 4, 6
21/07/2024, 51, 39, 9, 1, 4, 6
22/07/2024, 55, 27, , 1, 4, 5
23/07/2024, 38, , , , , 
24/07/2024, , 36, 7, 1, 4, 10
25/07/2024, 44, 54, 10, 1, 4, 8
26/07/2024, 66, 60, 10, 1, 4, 6
27/07/2024, 82, 36, 8, 1, 4, 6
28/07/2024, 57, 43, 8, 1, 4, 10
29/07/2024, 48, 33, 8, 1, 4, 8
30/07/2024, 39, 32, 7, 1, 4, 7
31/07/2024, 29, 44, 7, 1, 4, 7
01/08/2024, 42, 42, 7, 1, 4, 6
02/08/2024, 32, 48, 6, 1, 4, 8
03/08/2024, 43, 39, 7, 1, 4, 5
04/08/2024, 41, 49, 8, 1, 4, 8
05/08/2024, 60, 49, 7, 1, 4, 8
06/08/2024, 56, 54, 7, 1, 4, 8
07/08/2024, 66, 48, 7, 1, 4, 7
08/08/2024, 54, 40, 7, 1, 4, 5
09/08/2024, 43, 47, 8, 1, 4, 6
10/08/2024, 51, 35, 6, 1, 4, 5
11/08/2024, 32, 58, 7, 1, 4, 9
12/08/2024, 77, 41, 8, 1, 4, 5
13/08/2024, 59, 30, 7, 1, 4, 5
14/08/2024, 41, 44, 7, 1, 4, 6
15/08/2024, 53, 57, 7, 1, 4, 7
16/08/2024, 87, 66, 8, 1, 4, 9
17/08/2024, 114, 62, 7, 1, 4, 8
18/08/2024, 103, 65, 7, 1, 4, 9
19/08/2024, 108, 50, 8, 1, 4, 9
20/08/2024, 66, 39, 8, 1, 4, 8
21/08/2024, 49, 49, 6, 1, 4, 6
22/08/2024, 48, 35, 6, 1, 4, 9
23/08/2024, 48, 38, 6, 1, 4, 8
24/08/2024, 53, 32, 7, 1, 4, 7
25/08/2024, 31, 41, 7, 1, 4, 8
26/08/2024, 47, 49, 6, 1, 4, 9
27/08/2024, 63, 59, 7, 1, 4, 7
28/08/2024, 85, 61, 7, 1, 4, 10
29/08/2024, 96, 32, 8, 1, 4, 6
30/08/2024, 35, 54, 7, 1, 4, 9
31/08/2024, 73, 47, 7, 1, 4, 5
01/09/2024, 74, 44, 7, 1, 4, 5
02/09/2024, 61, 27, 7, 1, 4, 5
03/09/2024, 36, 53, 7, 1, 4, 6
04/09/2024, 88, 60, 8, 1, 4, 6
05/09/2024, 94, 43, 7, 1, 4, 6
06/09/2024, 58, 25, 7, 1, 4, 1
07/09/2024, 23, 17, 7, 1, 4, 3
08/09/2024, 24, 29, 8, 1, 4, 7
09/09/2024, 28, 21, 7, 1, 4, 7
10/09/2024, 34, 20, 7, 1, 4, 7
11/09/2024, 34, 29, 8, 1, 5, 6
12/09/2024, 43, 29, 7, 1, , 7
13/09/2024, 40, , 9, 1, 4, 4
20/09/2024, , , 9, 1, 5, 7
21/09/2024, , , , 1, 5, 3
22/09/2024, , , 9, 1, 4, 10
23/09/2024, , , 9, 1, 5, 7
24/09/2024, , , , 1, , 10
25/09/2024, , , , 1, 5, 9
26/09/2024, , 60, 9, 1, 5, 8
27/09/2024, 80, 44, , 1, 5, 5
28/09/2024, 48, 37, , 1, 5, 5
29/09/2024, 45, 22, , 1, 4, 2
30/09/2024, 26, , , , , 
01/10/2024, , 42, 9, 1, 5, 6
02/10/2024, 56, 43, 9, 1, 4, 6
03/10/2024, 59, 73, 9, 1, 5, 6
04/10/2024, 127, 74, 9, 1, 5, 6
05/10/2024, 132, 79, 9, 1, 5, 7
06/10/2024, 145, 80, 9, 1, 5, 7
07/10/2024, 146, 68, 9, 1, 5, 6
08/10/2024, 126, 76, 9, 1, 5, 7
09/10/2024, 142, 89, , 1, 5, 7
10/10/2024, 165, 84, , 1, 5, 9
11/10/2024, 161, 77, , 1, 5, 9
12/10/2024, 146, 69, , 1, 5, 8
13/10/2024, 116, 65, 9, 1, 5, 9
14/10/2024, 108, 57, 9, 1, 5, 7
15/10/2024, 83, 58, 9, 1, 5, 7
16/10/2024, 89, 64, , 1, 5, 9
17/10/2024, 101, 55, 9, 1, 5, 8
18/10/2024, 69, 55, , 1, 5, 8
19/10/2024, 69, 57, 9, 1, 5, 8
20/10/2024, 78, 59, 9, 1, 5, 8
21/10/2024, 100, 56, , 1, 5, 6
22/10/2024, 94, 33, , 1, 5, 4
23/10/2024, 41, 61, , 1, 5, 8
24/10/2024, 94, 76, 9, 1, 5, 8
25/10/2024, 139, 68, 9, 1, 5, 5
26/10/2024, 117, 47, , 1, 5, 3
27/10/2024, 67, 33, 9, 1, 5, 3
28/10/2024, 42, 43, , 1, 5, 8
29/10/2024, 67, 69, , 1, 5, 7
30/10/2024, 120, 92, 9, 1, 5, 13
31/10/2024, 164, 81, 9, 1, 5, 7
01/11/2024, 133, 68, 9, 1, 5, 6
02/11/2024, 116, 78, 9, 1, 5, 7
03/11/2024, 145, 68, 9, 1, 5, 6
04/11/2024, 133, 63, 9, 1, 5, 7
05/11/2024, 119, 70, 9, 1, 5, 7
06/11/2024, 137, 82, , 1, 5, 8
07/11/2024, 155, 77, 9, 1, 5, 8
08/11/2024, 144, 93, 9, 1, 5, 9
09/11/2024, 167, 90, 9, 1, 5, 9
10/11/2024, 169, 94, , 1, 5, 9
11/11/2024, 170, 89, , 1, 6, 11
12/11/2024, 156, 78, , 1, 5, 8
13/11/2024, 139, 79, 9, 1, 6, 10
14/11/2024, 136, 73, 9, 1, 5, 9
15/11/2024, 119, 60, 9, 1, 5, 7
16/11/2024, 89, 59, 9, 1, 5, 6
17/11/2024, 89, 71, 9, 1, 6, 7
18/11/2024, 123, 57, , 1, 5, 6
19/11/2024, 95, 57, 9, 1, 5, 7
20/11/2024, 74, 56, 9, 1, 5, 5
21/11/2024, 85, 61, , 1, 5, 6
22/11/2024, 104, 65, , 1, 5, 6
23/11/2024, 110, 73, 9, 1, 5, 7
24/11/2024, 132, 89, 9, 1, 5, 11
25/11/2024, 164, 55, 9, 1, 5, 5
26/11/2024, 74, 53, 9, 1, 5, 5
27/11/2024, 81, 38, , 1, 5, 3
28/11/2024, 51, 57, 9, 1, 5, 7
29/11/2024, 92, 83, 9, 1, 5, 8
30/11/2024, 147, 80, 9, 1, 5, 8
01/12/2024, 142, 81, 9, 1, 5, 8
02/12/2024, 143, 69, , 1, 6, 8
03/12/2024, 100, 68, , 1, 5, 8
04/12/2024, 91, 73, , 1, 5, 9
05/12/2024, 107, 80, , 1, 6, 10
06/12/2024, 125, 67, , 1, 5, 5
07/12/2024, 119, 32, 9, 1, 5, 4
08/12/2024, 40, 59, , 1, 5, 7
09/12/2024, 108, 111, 9, 1, 5, 12
10/12/2024, 192, 74, 9, 1, 5, 6
11/12/2024, 122, 42, 9, 1, 5, 3
12/12/2024, 49, 49, 9, , , 5
13/12/2024, 67, 49, , , , 4
14/12/2024, 84, 49, , , , 4
15/12/2024, 110, 61, , 1, 5, 8
16/12/2024, 143, 87, , 1, 5, 13
17/12/2024, 195, 71, , 1, 5, 9
18/12/2024, 153, 72, 7, 1, 5, 9
19/12/2024, 156, 73, 15, 1, 5, 9
20/12/2024, 161, 77, 16, 1, 5, 8
21/12/2024, 172, 99, 23, 1, 5, 9
22/12/2024, 214, 100, 26, 1, 5, 13
23/12/2024, 192, 93, 21, 1, 5, 10
24/12/2024, 180, 111, 11, 1, 6, 12
25/12/2024, 207, 82, 25, 1, 6, 8
26/12/2024, 171, 55, 17, 1, 5, 4
27/12/2024, 128, 50, 20, 1, 5, 8
28/12/2024, 111, 73, 19, 1, 5, 9
29/12/2024, 156, , , , , 
31/12/2024, , 112, 24, 1, 5, 10
01/01/2025, 209, 119, 30, 1, 5, 10
02/01/2025, 217, 94, 27, 1, 6, 12
03/01/2025, 183, 79, 16, 1, 6, 9
04/01/2025, 169, 89, 32, 1, 5, 10
05/01/2025, 174, 92, 26, 1, 6, 13
06/01/2025, 183, 99, 14, 1, 6, 10
07/01/2025, 198, 79, 7, 1, 6, 9
08/01/2025, 168, 71, 21, 1, 5, 7
09/01/2025, 161, 39, 14, 1, 5, 5
10/01/2025, 99, 49, 15, 1, 5, 6
11/01/2025, 107, 70, 17, 1, 5, 10
12/01/2025, 145, 89, 15, 1, 6, 10
13/01/2025, 179, 81, 15, 1, 6, 10
14/01/2025, 168, 83, 20, 1, 5, 10
15/01/2025, 174, 76, 24, 1, 5, 8
16/01/2025, 164, 76, 15, 1, 5, 8
17/01/2025, 168, 89, 13, 1, 5, 7
18/01/2025, 179, 100, 19, 1, 5, 8
19/01/2025, 191, 109, 22, 1, 5, 11
20/01/2025, 208, 95, 20, 1, 5, 12
21/01/2025, 193, 82, 5, 1, 6, 11
22/01/2025, 172, 59, 5, 1, 6, 9
23/01/2025, 138, 56, 4, 1, 6, 8
24/01/2025, 137, 43, 3, 1, 6, 7
25/01/2025, 111, 25, 13, 1, 5, 4
26/01/2025, 60, 34, 21, 1, 5, 5
27/01/2025, 74, 47, 23, 1, 5, 3
28/01/2025, 100, 96, 20, 1, 5, 5
29/01/2025, 177, 68, 20, 1, 5, 4
30/01/2025, 142, 35, 11, 1, 5, 2
31/01/2025, 87, 31, 5, 1, 5, 4
01/02/2025, 78, 26, 7, 1, 5, 4
02/02/2025, 68, 15, 9, 1, 5, 4
03/02/2025, 41, 32, 14, 1, 5, 5
04/02/2025, 67, 51, 11, 1, 5, 8
05/02/2025, 108, 63, 4, 1, 5, 6
06/02/2025, 127, 11, 6, 1, 5, 4
07/02/2025, 27, 17, 10, 2, 5, 4
08/02/2025, 38, 43, 18, 1, 5, 4
09/02/2025, 90, 74, 9, 1, 5, 8
10/02/2025, 156, 91, 15, 1, 5, 8
11/02/2025, 182, 81, 9, 1, 5, 7
12/02/2025, 160, 69, 7, 1, 5, 8
13/02/2025, 146, 59, 6, 1, 5, 9
14/02/2025, 133, 48, 6, 1, 5, 10
15/02/2025, 119, 19, 4, 1, 5, 4
16/02/2025, 47, 43, 3, 1, 6, 6
17/02/2025, 89, 28, 2, 1, 5, 5
18/02/2025, 53, 46, 2, 1, 5, 7
19/02/2025, 87, 78, 2, 1, 6, 12
20/02/2025, 152, 56, 2, 1, 6, 7
21/02/2025, 105, 65, 2, 1, 6, 8
22/02/2025, 134, 36, 4, 1, 5, 4
23/02/2025, 61, 23, 6, 2, 5, 4
24/02/2025, 40, 39, 2, 2, 5, 6
25/02/2025, 86, 40, 4, 1, 5, 6
26/02/2025, 87, 73, 4, 1, 6, 9
27/02/2025, 166, 58, 5, 1, 6, 7
28/02/2025, 121, 58, 4, 1, 5, 7
01/03/2025, 98, 44, 4, 1, 6, 6
02/03/2025, 64, 50, 6, 1, , 9
03/03/2025, 72, 52, 6, 1, 6, 7
04/03/2025, 75, 53, 7, 1, 6, 7
05/03/2025, 79, 39, 7, 1, 5, 5
06/03/2025, 64, 25, 9, 2, 5, 3
07/03/2025, 42, , , , , 
09/03/2025, , 68, 6, 24, 6, 11
10/03/2025, 167, 63, 7, 10, 6, 8
11/03/2025, 129, 44, 4, 14, 6, 8
12/03/2025, 69, 38, 5, 15, , 7
13/03/2025, 54, 48, 7, 12, 6, 6
14/03/2025, 64, 50, 7, 9, 6, 7
15/03/2025, 67, 28, 11, 14, 6, 4
16/03/2025, 37, 30, 4, 10, 6, 4
17/03/2025, 50, 36, 12, 4, 6, 5
18/03/2025, 95, 42, 19, 1, 5, 4
19/03/2025, 84, 37, 24, 2, 5, 5
20/03/2025, 75, 83, 27, 5, 6, 8
21/03/2025, 148, 68, 24, 8, 6, 7
22/03/2025, 117, 27, 19, 10, 5, 5
23/03/2025, 78, 52, 20, 13, 5, 7
24/03/2025, 54, 69, 7, 16, 6, 7
25/03/2025, 106, 75, 9, 27, 6, 7
26/03/2025, 120, 61, 9, 42, 6, 8
27/03/2025, 102, 71, 7, 22, 6, 8
28/03/2025, 115, 57, 7, 9, 6, 3
29/03/2025, 79, 32, 7, 9, 6, 3
30/03/2025, 45, 44, 12, 9, 6, 4
31/03/2025, 60, 66, 19, 9, 5, 5
01/04/2025, 106, 71, 17, 38, 6, 7
02/04/2025, 118, 75, 16, 41, 6, 6
03/04/2025, 121, 61, 11, 44, 6, 5
04/04/2025, 94, 71, 6, 46, 6, 10
05/04/2025, 114, 88, 4, 49, 6, 8
06/04/2025, 142, 72, 5, 46, 5, 7
07/04/2025, 110, 73, 7, 52, 6, 8
08/04/2025, 122, 53, 8, , 6, 7
09/04/2025, 83, 58, 8, , 6, 8
10/04/2025, 90, 64, 8, , 6, 8
11/04/2025, 101, 74, 8, , 6, 5
12/04/2025, 130, 88, 14, , 6, 1
13/04/2025, 116, 120, 14, , 6, 4
14/04/2025, 168, 126, 18, , 6, 3
15/04/2025, 176, 136, 13, , 6, 3
16/04/2025, 178, 104, 8, , 6, 3
17/04/2025, 154, 91, 8, , 6, 3
18/04/2025, 144, 72, 8, , 6, 2
19/04/2025, 123, 61, 9, , 6, 1
20/04/2025, 98, 54, 8, , 6, 2
21/04/2025, 80, 68, 9, , 6, 3
22/04/2025, 106, 68, 10, , 6, 2
23/04/2025, 114, 64, 9, , 6, 3
24/04/2025, 100, 46, 8, , 5, 2
25/04/2025, 71, 58, 8, , 5, 2
26/04/2025, 86, 55, 9, , 6, 1
27/04/2025, 84, 50, 8, , 5, 2
28/04/2025, 73, 61, 8, , 6, 2
29/04/2025, 95, 59, 10, , 6, 2
30/04/2025, 92, 40, 9, , 6, 1
01/05/2025, 63, 49, 10, , 5, 1
02/05/2025, 74, 52, 9, 57, 5, 1
03/05/2025, 80, 48, 11, , 6, 1
04/05/2025, 69, 57, 12, , 6, 2
05/05/2025, 90, 55, , , 6, 
06/05/2025, 81, 48, , , 6, 
07/05/2025, 70, 54, 11, , 6, 6
08/05/2025, 80, 55, 15, , 6, 7
09/05/2025, 83, 61, 13, , , 7
10/05/2025, 94, 29, 10, , , 4
11/05/2025, 38, 59, 17, , , 5
12/05/2025, 92, 62, 12, , , 5
13/05/2025, 95, 54, 8, , , 6
14/05/2025, 77, 46, 7, , , 5
15/05/2025, 65, 44, 7, , , 5
16/05/2025, 62, 36, 7, , , 5
17/05/2025, 53, 36, 7, , 6, 4
18/05/2025, 47, 41, 7, , 6, 5
19/05/2025, 56, 45, 7, , 6, 5
20/05/2025, 62, 47, 7, , 6, 5
21/05/2025, 62, 46, 7, , , 4
22/05/2025, 55, 38, 7, , , 6
23/05/2025, 49, 38, 7, , , 4
24/05/2025, 47, 33, 14, , , 3
25/05/2025, 38, 41, 12, , , 5
26/05/2025, 58, 64, 9, , , 6
27/05/2025, 103, 62, 8, , , 6
28/05/2025, 99, 34, 11, , 6, 6
29/05/2025, 46, 39, 18, 20, 6, 5
30/05/2025, 57, 49, 21, 14, , 4
31/05/2025, 66, 44, 21, 12, , 5
01/06/2025, 56, 40, 12, 16, , 6
02/06/2025, 55, 44, 20, 18, 10, 5
03/06/2025, 62, 49, 26, 21, , 6
04/06/2025, 67, 57, 38, 18, , 6
05/06/2025, 90, 47, 48, 10, , 5
06/06/2025, 63, 44, 55, 18, , 5
07/06/2025, 57, 48, 26, 13, , 6
08/06/2025, 62, 48, 24, 22, , 6
09/06/2025, 63, 40, 24, 14, , 4
10/06/2025, 55, 54, 38, 16, , 4
11/06/2025, 80, 43, 22, 14, , 4
12/06/2025, 59, 34, 22, 11, , 3
13/06/2025, 45, 42, 19, 18, , 4
14/06/2025, 60, 56, 23, 18, , 5
15/06/2025, 89, 47, 22, 16, , 8
16/06/2025, 62, 55, 24, 13, , 7
17/06/2025, 75, 40, 22, 12, , 4
18/06/2025, 51, 55, 25, 13, , 5
19/06/2025, 80, 56, 24, 14, 9, 5
20/06/2025, 89, 45, 24, 13, 9, 5
21/06/2025, 63, 36, 22, 13, 9, 6
22/06/2025, 48, 50, 22, 14, 9, 6
23/06/2025, 66, 44, 24, 12, 9, 4
24/06/2025, 65, 36, 23, 12, 9, 4
25/06/2025, 47, 40, 23, 15, 9, 5
26/06/2025, 49, 47, 22, 14, 10, 9
27/06/2025, 69, 44, 22, 15, 9, 7
28/06/2025, 56, 43, 22, 12, 9, 6
29/06/2025, 55, 34, 22, 12, 9, 6
30/06/2025, 40, 28, 21, 11, 9, 6
01/07/2025, 37, 35, 22, 14, 10, 8
02/07/2025, 42, 48, 22, 13, 9, 9
03/07/2025, 63, 48, 22, 18, 9, 6
04/07/2025, 60, 56, 22, 18, 9, 5
05/07/2025, 76, 46, 22, 14, 9, 6
06/07/2025, 61, 53, 22, 19, 10, 8
07/07/2025, 70, , 23, 21, 10, 7
08/07/2025, 73, , 24, 19, 10, 5
09/07/2025, 90, , 21, 14, 9, 4
10/07/2025, 47, , 21, 13, 9, 4
11/07/2025, 51, 30, 21, 14, 9, 4
12/07/2025, 47, 32, 23, 15, 9, 4
13/07/2025, 46, 58, 23, 22, 10, 9
14/07/2025, 97, 65, 24, 25, 10, 9
15/07/2025, 109, 48, 25, 18, 9, 6
16/07/2025, 63, 45, 24, 19, 10, 5
17/07/2025, 61, 53, 23, 18, 10, 6
18/07/2025, 81, 72, 35, 18, 10, 5
19/07/2025, 130, , , , , 
21/07/2025, , 14, 18, 5, 10, 2
22/07/2025, 17, 28, 22, 11, 9, 6
23/07/2025, 41, 37, 22, 13, 10, 6
24/07/2025, 47, 54, 23, 16, 10, 7
25/07/2025, 76, 51, 21, 18, 10, 6
26/07/2025, 76, 45, 22, 18, 9, 4
27/07/2025, 63, 55, 22, 20, 10, 5
28/07/2025, 83, 65, 26, 22, 10, 5
29/07/2025, 114, 58, 23, 19, 10, 6
30/07/2025, 90, 43, 25, 17, 10, 5
31/07/2025, 56, 32, 24, 15, 9, 5
01/08/2025, 40, 57, 32, 22, 10, 6
02/08/2025, 87, 45, 25, 15, 10, 5
03/08/2025, 60, 31, 18, 15, 10, 6
04/08/2025, 42, 47, 24, 18, 10, 5
05/08/2025, 70, 48, 25, 15, 10, 9
06/08/2025, 73, 47, 21, 19, 10, 8
07/08/2025, 70, 46, 23, 16, 10, 5
08/08/2025, 61, 43, 24, 21, 10, 5
09/08/2025, 62, 40, 24, 12, 10, 6
10/08/2025, 57, 48, 24, 16, 10, 7
11/08/2025, 65, 43, 25, 15, 10, 6
12/08/2025, 52, 49, 24, 19, 10, 7
13/08/2025, 68, 62, 24, 26, 10, 8
14/08/2025, 101, 40, 22, 19, 10, 7
15/08/2025, 51, 41, 21, 15, 10, 7
16/08/2025, 52, 44, 21, 14, 10, 7
17/08/2025, 58, 36, 22, 13, 9, 5
18/08/2025, 48, 25, 22, 11, 9, 6
19/08/2025, 48, 31, 23, 12, 9, 5
20/08/2025, 8, 41, 26, 11, 9, 5
21/08/2025, 52, 31, 24, 3, 9, 4
22/08/2025, 37, 44, 24, 1, 10, 7
23/08/2025, 62, 54, 24, 1, 10, 5
24/08/2025, 84, 25, 19, 1, 9, 3
25/08/2025, 33, 18, 22, 1, 9, 5
26/08/2025, 28, 24, 22, 1, 10, 10
27/08/2025, 37, 52, 23, 1, 10, 9
28/08/2025, 79, 50, 23, , 10, 6
29/08/2025, 79, 31, 22, 1, 10, 4
30/08/2025, 37, 33, 23, 1, 10, 5
31/08/2025, 44, 47, 22, 1, 10, 7
01/09/2025, 70, 42, 22, 1, 10, 7
02/09/2025, 58, 41, 22, 1, 10, 7
03/09/2025, 54, 37, 22, 7, 10, 6
04/09/2025, 51, 41, 21, 17, 11, 6
05/09/2025, 59, 42, 23, 17, 11, 6
06/09/2025, 60, 47, 23, 23, 14, 5
07/09/2025, 72, 70, 48, 25, 11, 6
08/09/2025, 128, 50, 26, 16, 11, 8
09/09/2025, 74, 56, 21, 21, 11, 7
10/09/2025, 81, 41, 22, 11, 11, 7
11/09/2025, 55, 36, 23, 11, 10, 5
12/09/2025, 47, 36, 22, 14, 10, 6
13/09/2025, 44, 45, 22, 18, 11, 6
14/09/2025, 62, 41, 22, 15, 11, 6
15/09/2025, 58, 45, 22, 19, 12, 5
16/09/2025, 63, 49, 21, 16, 10, 6
17/09/2025, 72, 50, 22, 16, 10, 6
18/09/2025, 75, 52, 23, 19, 11, 6
19/09/2025, 83, 59, 28, 23, 11, 7
20/09/2025, 95, 61, 28, 23, 11, 7
21/09/2025, 97, 48, 22, 21, 11, 7
22/09/2025, 68, 52, 26, 17, 11, 5
23/09/2025, 77, 44, 21, 16, 11, 4
24/09/2025, 68, 34, 15, 12, 10, 4
25/09/2025, 51, 38, 20, 12, 10, 5
26/09/2025, 56, 30, 23, 14, 10, 4
27/09/2025, 42, 33, 24, 11, 10, 3
28/09/2025, 45, 18, 20, 7, 10, 3
29/09/2025, 33, 22, 26, 3, 10, 1
30/09/2025, 35, 44, 19, 16, 11, 10
01/10/2025, 50, 44, 23, 14, 11, 7
02/10/2025, 60, 43, 21, 16, 11, 6
03/10/2025, 70, 55, 23, 21, 11, 8
04/10/2025, 87, 58, 23, 19, 11, 5
05/10/2025, 96, 50, 24, 11, 10, 5
06/10/2025, 85, 20, 24, 12, 10, 4
07/10/2025, 27, 35, 22, 17, 11, 9
08/10/2025, 55, 56, 22, 21, 11, 6
09/10/2025, 90, 62, 30, 24, 11, 7
10/10/2025, 104, 62, 23, 23, 11, 8
11/10/2025, 105, 61, 25, 22, 11, 7
12/10/2025, 100, 46, 24, 15, 11, 8
13/10/2025, 68, 43, 22, 9, 11, 8
14/10/2025, 60, 49, 23, 11, 11, 10
15/10/2025, 65, 44, 21, 17, 11, 7
16/10/2025, 66, 56, 21, 20, 11, 6
17/10/2025, 85, 64, 22, 21, 12, 8
18/10/2025, 106, 63, 22, 19, 11, 5
19/10/2025, 108, 50, 19, 16, 11, 4
20/10/2025, 71, 41, 18, 13, 10, 3
21/10/2025, 51, 24, 24, 13, 11, 3
22/10/2025, 33, 16, 25, 13, 10, 3
23/10/2025, 25, 17, 18, 13, 11, 4
24/10/2025, 27, 48, , 21, 12, 5
25/10/2025, 75, 57, , 18, 11, 4
26/10/2025, 96, 41, , 17, 11, 4
27/10/2025, 64, 44, , 21, 12, 6
28/10/2025, 76, 63, , 25, 12, 7
29/10/2025, 109, 52, , 18, 11, 5
30/10/2025, 90, 21, , 12, 11, 4
31/10/2025, 31, 13, , 11, 11, 4
01/11/2025, 19, 16, , 10, 11, 3
02/11/2025, 23, 13, , 11, 11, 3
03/11/2025, 18, 23, , 12, 11, 4
04/11/2025, 38, 30, , 15, 11, 5
05/11/2025, 39, 56, , 19, 12, 7
06/11/2025, 83, 55, , 15, 11, 6
07/11/2025, 93, 42, , 15, 12, 6
08/11/2025, 62, 46, , 13, 11, 9
09/11/2025, 70, 36, , 11, 11, 7
10/11/2025, 47, 37, , 13, 11, 5
11/11/2025, 44, 43, , 20, 11, 6
12/11/2025, 63, 57, , 22, 12, 6
13/11/2025, 89, 73, , 22, 12, 8
14/11/2025, 117, 81, , 28, 13, 9
15/11/2025, 130, 88, , 19, 13, 7
16/11/2025, 151, 84, , 1, 12, 7
17/11/2025, 150, 43, , 1, 11, 4
18/11/2025, 76, 27, , 1, 11, 4
19/11/2025, 53, 55, , 1, 11, 5
20/11/2025, 69, 62, , 1, 12, 6
21/11/2025, 100, 74, , 1, 13, 7
22/11/2025, 125, 86, , 1, 13, 7
23/11/2025, 147, 86, , 1, 13, 7
24/11/2025, 143, 30, , 1, 13, 5
25/11/2025, 49, 44, , 1, 13, 6
